42562446,none,StephenCurry30, GSW
53853197,none,CP3, HOU
23083404,none,KingJames, LAL
35982046,none,russwest44, OKC
34430522,none,blakegriffin23, DET
46704247,none,gordonhayward, BOS
28066436,none,Klow7, TOR
53643297,none,Yg_Trece, OKC
59297233,none,mconley11, MEM
50811932,none,JHarden13, HOU
35936474,none,KDTrey5, GSW
1009296320,none,Paulmillsap4, DEN
78193153,none,Al_Horford, BOS
267425142,none,Dame_Lillard, POR
43658360,none,DeMar_DeRozan, SAS
16125042,none,chrisbosh, MIA
309516587,none,Jrue_Holiday11, NOP
92903456,none,CJMcCollum, POR
42384760,none,carmeloanthony, ATL
3305505742,none,JokicNikola15, DEN
153307097,none,RealDealBeal23, WAS
159113258,none,AntDavis23, NOP
244800486,none,AndreDrummond, DET
149308566,none,youngwhiteside, MIA
231209225,none,22wiggins, MIN
416814339,none,JoelEmbiid, PHI
1253284927,none,RealStevenAdams, OKC
2279776304,none,Giannis_An34, MIL
217160945,none,kevinlove, CLE
24423418,none,MarcGasol, MEM
132708764,none,ChandlerParsons, MEM
555393138,none,hbarnes, DAL
164326175,none,nicolas88batum, CHO
609548724,none,rudygobert27, UTA
47506568,none,DeAndre, DAL
248829112,none,aldridge_12, SAS
80480330,none,sergeibaka, TOR
70926844,none,gallinari8888, LAC
614024492,none,Double0AG, ORL
87874905,none,VicOladipo, IND
255199842,none,JimmyButler, MIN
1000081791779295233,none,_ryananderson22, HOU
2584213500,none,kawhileonard, TOR
317370751,none,KyrieIrving, BOS
306582939,none,JabariParker, CHI
405205681,none,ZachLaVine, CHI
2645857315,none,RealTJohnson, MIA
132389474,none,JohnWall, WAS
87080278,none,George_Hill3, CLE
270044966,none,Teague0, MIN
1703636814,none,KlayThompson, GSW
16812787,none,DwightHoward, BRK
302111485,none,Enes_Kanter, NYK
232049361,none,WessyWes23, DAL
494422305,none,JoakimNoah, NYK
373677327,none,allencrabbe, BRK
356859571,none,Goran_Dragic, MIA
29356531,none,24Bazemore, ATL
162749920,none,LuolDeng9, LAL
91133460,none,thekidet, POR
116485600,none,Money23Green, GSW
66816759,none,RealTristan13, CLE
233990070,none,T_HardJR, NYK
266819783,none,Reggie_Jackson, DET
562362256,none,EvanFourmizz, ORL
273532957,none,bismackbiyombo, CHO
151728579,none,dfavors14, UTA
2227318080,none,JValanciunas, TOR
126458229,none,thats_G_, DEN
331283041,none,andre, GSW
163559269,none,paugasol, SAS
394125377,none,ianmahinmi, WAS
